Record ID,Date,Generating Unit,Fuel Source,Fuel Consumed (Tonnes),Gross Generation (MWh),Auxiliary Consumption (MWh),Net Generation Exported (MWh),Voltage Level (kV),Grid Destination,Plant Load Factor (%)
R001,10-Jul-2026,Unit-1,"Coal (Domestic, linkage)",420,1380,95,1285,220,Regional Grid Substation A,95.8
R002,10-Jul-2026,Unit-2,"Coal (Domestic, linkage)",415,1362,93,1269,220,Regional Grid Substation A,94.6
R003,11-Jul-2026,Unit-1,"Coal (Domestic, linkage)",418,1375,94,1281,220,Regional Grid Substation A,95.5
R004,11-Jul-2026,Unit-2,"Coal (Domestic, linkage)",410,1350,92,1258,220,Regional Grid Substation A,93.8
R005,12-Jul-2026,Unit-1,"Coal (Domestic, linkage)",422,1390,96,1294,220,Regional Grid Substation A,96.5
R006,12-Jul-2026,Unit-2,Coal (Imported blend),405,1335,91,1244,220,Industrial Feeder B (132kV),92.7
R007,13-Jul-2026,Unit-1,"Coal (Domestic, linkage)",416,1370,94,1276,220,Regional Grid Substation A,95.1
R008,13-Jul-2026,Unit-2,"Coal (Domestic, linkage)",412,1358,93,1265,220,Regional Grid Substation A,94.3
R009,14-Jul-2026,Unit-1,"Coal (Domestic, linkage)",419,1378,95,1283,220,Regional Grid Substation A,95.7
R010,14-Jul-2026,Unit-2,"Coal (Domestic, linkage)",408,1345,92,1253,220,Industrial Feeder B (132kV),93.4
R011,15-Jul-2026,Unit-1,"Coal (Domestic, linkage)",421,1385,96,1289,220,Regional Grid Substation A,96.2
R012,15-Jul-2026,Unit-2,"Coal (Domestic, linkage)",413,1360,93,1267,220,Regional Grid Substation A,94.4
R013,16-Jul-2026,Unit-1,"Coal (Domestic, linkage)",417,1372,94,1278,220,Regional Grid Substation A,95.3
R014,16-Jul-2026,Unit-2,"Coal (Domestic, linkage)",411,1352,92,1260,220,Regional Grid Substation A,93.9
